BR50001_minq20_sorted	4.42842
BR50002_minq20_sorted	1.82128
BR50003_minq20_sorted	5.88502
BR50004RE_minq20_sorted	14.742
BR50004_minq20_sorted	9.16111
BR50005_minq20_sorted	4.43437
BR50006RE_minq20_sorted	20.6546
BR50006_minq20_sorted	12.6769
BR50007_minq20_sorted	12.1128
BR50008_minq20_sorted	3.97217
BR50009_minq20_sorted	4.40793
BR50010_minq20_sorted	8.63409
BR50011_minq20_sorted	13.8976
BR50013_minq20_sorted	39.4258
BR50014_minq20_sorted	5.89126
BR50015_minq20_sorted	25.8839
BR50016_minq20_sorted	4.31119
BR50017_minq20_sorted	6.28659
BR50018_minq20_sorted	3.4549
BR50019_minq20_sorted	4.72713
BR50020_minq20_sorted	5.90935
BR50021RE_minq20_sorted	8.34304
BR50021_minq20_sorted	1.60248
BR50022_minq20_sorted	7.91017
BR50023_minq20_sorted	24.5415
BR50025RE_minq20_sorted	15.6404
BR50025_minq20_sorted	6.9349
BR50026_minq20_sorted	42.2293
BR50027RE_minq20_sorted	16.4925
BR50027_minq20_sorted	5.05294
BR50028_minq20_sorted	2.54968
BR50029_minq20_sorted	2.71152
BR50030_minq20_sorted	4.47277
BR50031RE_minq20_sorted	16.963
BR50031_minq20_sorted	6.49843
BR50032_minq20_sorted	3.96225
BR50033RE_minq20_sorted	4.50685
BR50033_minq20_sorted	4.89559
BR50034_minq20_sorted	7.83268
BR50035_minq20_sorted	11.1555
BR50036_minq20_sorted	2.35332
BR50037_minq20_sorted	9.45699
BR50038_minq20_sorted	11.8009
BR50039_minq20_sorted	4.12743
BR50040_minq20_sorted	11.1166
BR50043_minq20_sorted	1.57482
BR50044_minq20_sorted	6.83939
BR50045_minq20_sorted	4.31136
BR50046_minq20_sorted	28.3829
BR50047_minq20_sorted	3.01335
BR50048RE_minq20_sorted	14.7743
BR50048_minq20_sorted	5.33766
BR50050_minq20_sorted	12.294
BR50051_minq20_sorted	4.44624
BR50052_minq20_sorted	6.69141
BR50053_minq20_sorted	12.9413
BR50054_minq20_sorted	7.31931
BR50055_minq20_sorted	11.7127
BR50056_minq20_sorted	8.04162
BR50057_minq20_sorted	7.61324
BR50058_minq20_sorted	5.79562
BR50059_minq20_sorted	13.3096
BR50060_minq20_sorted	3.86604
BR50061_minq20_sorted	19.7767
BR50062_minq20_sorted	2.62418
BR50063RE_minq20_sorted	7.2296
BR50063_minq20_sorted	17.0223
BR50064RE_minq20_sorted	7.62435
BR50064_minq20_sorted	19.9849
BR50065_minq20_sorted	7.79161
BR50066_minq20_sorted	27.4717
BR50067RE_minq20_sorted	13.6152
BR50067_minq20_sorted	21.5037
BR50068_minq20_sorted	6.35258
BR50069_minq20_sorted	1.21054
BR50070_minq20_sorted	5.99734
BR50071B_minq20_sorted	3.56062
BR50071_minq20_sorted	12.2487
CO50002RE_minq20_sorted	9.56811
CO50002_minq20_sorted	3.37464
CO50003RE_minq20_sorted	7.06603
CO50003_minq20_sorted	5.04691
CO50004_minq20_sorted	2.25194
CO50005RE_minq20_sorted	9.02909
CO50005_minq20_sorted	2.58073
CO50006RE_minq20_sorted	11.8504
CO50006_minq20_sorted	11.1768
CO50008_minq20_sorted	5.74383
CO50009_minq20_sorted	2.68954
CO50010_minq20_sorted	4.51456
